,Transaction_date,Name,Gender,Email,City,Product_id,Amount_spent
113,2021-07-26,Hans-Gerhard Rohleder,M,qkobelt@faust.com,Celle,10243619,63.28
114,2021-01-02,Wojciech Kruschwitz,F,gundel35@hotmail.de,Duderstadt,93626590,96.37
115,2021-07-13,Ann Süßebier B.Sc.,F,rahel42@googlemail.com,Celle,66374251,39.12
116,2021-07-06,Dipl.-Ing. Alexa Tlustek B.Eng.,F,walterleni@gierschner.de,Hagenow,72994894,15.83
117,2021-02-12,Darius Henck,F,rtlustek@stahr.com,Cuxhaven,76426001,78.7
118,2021-01-21,Ing. Arne Hauffer,F,korinna05@gmail.com,Leipziger Land,67743209,21.34
119,2021-01-22,William Hiller-Möchlichen,F,wesackmechtild@weiss.com,Stadtroda,67541652,62.31
120,2021-03-05,Brita Dobes B.A.,M,bsauer@googlemail.com,Göttingen,62395298,56.74
121,2021-04-18,Friedrich-Karl Schuchhardt,M,marlenebuchholz@aol.de,Jüterbog,61194182,70.62
122,2021-01-29,Carl Thanel,F,ludmila08@huhn.net,Schwerin,12211876,83.65
123,2021-01-28,Sebastian Winkler B.Eng.,F,margot27@yahoo.de,Staßfurt,90705700,55.3
124,2021-06-09,Jutta Henk,F,ellinorgirschner@noack.org,Flöha,29052295,33.28
125,2021-02-25,Willibald Römer,M,zoltan15@gmail.com,Neustadt am Rübenberge,53215116,93.18
126,2021-06-21,Kunigunda Ullmann,M,mhofmann@bonbach.com,Bersenbrück,74024346,35.75
127,2021-07-01,Marie Reuter,M,cengizgotthard@hotmail.de,Rehau,92742888,89.8
128,2021-05-14,Ekkehard Neuschäfer B.Eng.,F,abraham30@henck.com,Weißenfels,73452430,74.32
129,2021-06-30,Dan Kusch,M,zeljkokitzmann@hotmail.de,Saulgau,43899685,50.29
130,2021-05-12,Mechthild Gröttner,M,glangern@holsten.com,Zossen,23079830,47.69
131,2021-04-15,Frau Magda Eckbauer B.Eng.,M,petzold@gmail.com,Nürtingen,63856910,32.2
132,2021-03-03,Helfried Fröhlich,M,niemeierannelies@web.de,Schwäbisch Hall,40990170,88.66
133,2021-07-06,Prof. Edeltraud Häring B.Sc.,M,rabeaplath@ladeck.de,Sebnitz,20562588,72.54
134,2021-07-24,Dr. Annelore Wulf B.Eng.,M,fischerhans@hotmail.de,Belzig,80601470,9.32
135,2021-03-20,Anneke Hänel B.Eng.,F,wagenknechtortwin@ditschlerin.de,Höxter,61189218,86.9
136,2021-01-18,Valentine Stoll,M,tsteckel@schulz.org,Passau,75112585,80.46
137,2021-03-27,Sepp Sauer,M,ivanakaester@web.de,Heiligenstadt,43485956,48.58
138,2021-06-11,Eitel Wagenknecht B.Sc.,F,heinzbaerbel@googlemail.com,Sigmaringen,27442586,85.61
139,2021-07-20,Dimitri Süßebier,F,rholzapfel@paffrath.de,Grevenbroich,09319516,82.3
140,2021-05-27,Regine Kallert-Rudolph,M,weisscaecilie@hartung.com,Lobenstein,75935757,58.52
141,2021-04-04,Detlev Höfig B.Sc.,M,gerhart00@drubin.de,Vilsbiburg,38251481,77.1
142,2021-01-11,Centa Baum-Henschel,M,resiholt@muelichen.net,Calw,48186766,75.64
143,2021-02-19,Katarina Stumpf,F,paul-gerhard28@winkler.org,Iserlohn,10466476,14.5
144,2021-04-29,Annekatrin Trüb,F,hilleramanda@otto.com,Göppingen,79365857,31.49
145,2021-07-13,Catrin Wesack,M,groettneremmy@web.de,Soltau,79949859,39.11
146,2021-02-06,Mikhail Fischer,M,mwalter@sauer.org,Holzminden,49342314,81.6
147,2021-04-23,Prof. Luisa Nette,F,steckelimmo@junken.org,Neu-Ulm,49223293,72.4
148,2021-07-08,Burkhardt Wesack-Fliegner,F,xsoeding@yahoo.de,Feuchtwangen,23418851,96.65
149,2021-05-01,Natalija Spieß,M,biggennico@weihmann.org,Roth,55443395,73.33
150,2021-06-08,Jurij Thanel,M,kuehnerthans-joachim@schaefer.org,Staßfurt,31742504,49.5
151,2021-08-08,Karl-Georg Jacob-Oestrovsky,F,roggelieselotte@yahoo.de,Bad Brückenau,42102113,45.15
152,2021-04-05,Pawel Holzapfel,F,van-der-dussenmarija@herrmann.com,Prenzlau,87809688,45.58
153,2021-02-10,Frieda Heinrich,M,ebertgislinde@reising.de,Hamburg,11573524,19.89
154,2021-05-23,Traude Klotz,M,constantinschenk@aol.de,Geldern,16614796,78.92
155,2021-01-20,Annelise Kensy-Pohl,F,reinhildesuessebier@stroh.com,Bruchsal,26812922,93.2
156,2021-05-09,Yvonne Pechel,F,hendriksivonne@web.de,Bogen,57488592,70.91
157,2021-07-20,Romy Drewes-Stiffel,M,beckerflorian@carsten.com,Auerbach,02852034,32.0
158,2021-04-06,Arno Mielcarek,F,abachmann@gmx.de,Jülich,44668747,79.81
159,2021-08-03,Joachim Eberth,F,donaldfaust@aol.de,Grevesmühlen,43852512,29.5
160,2021-03-12,Carmelo Gierschner,F,alexandra35@gmail.com,Höxter,31393027,88.49
161,2021-05-15,Dr. Helmtrud Gorlitz,M,heidelindeklingelhoefer@googlemail.com,Soltau,85829480,8.97
162,2021-03-28,Hilmar Paffrath-Lindau,M,qmeister@zirme.com,Greiz,97831761,4.83
163,2021-01-29,Jörgen Höfig B.Sc.,M,anneliholt@bien.org,Bad Kreuznach,24434409,66.18
164,2021-05-03,Univ.Prof. Traugott Jäkel,M,magareteharloff@hotmail.de,Göttingen,97059851,74.44
165,2021-01-24,Ljiljana Schmiedecke,F,peukerthelmut@mies.de,Hettstedt,10729311,25.4
166,2021-05-12,Freya Zimmer-Fritsch,M,heinz-guenther69@mude.net,Böblingen,46165688,37.47
167,2021-01-10,Frau Geza Briemer B.Eng.,M,trudi91@yahoo.de,Kötzting,73061137,25.34
168,2021-05-18,Uwe Sauer,M,pohlemilie@gmx.de,Schwarzenberg,66381396,41.66
169,2021-04-08,Ira Reichmann,M,anneli03@googlemail.com,Olpe,42766773,26.12
170,2021-06-28,Zoran Heintze,F,gtrueb@gunpf.org,Saarlouis,73710141,3.25
171,2021-03-18,Dr. Georgine Gumprich,M,katygerlach@googlemail.com,Gifhorn,16243811,82.94
172,2021-05-18,Ivonne Karge-Zirme,F,uteditschlerin@kallert.de,Wolgast,64444185,10.98
173,2021-06-18,Henrike Kambs-Albers,M,rennergalina@mohaupt.de,Ludwigslust,83900143,28.52
174,2021-03-10,Univ.Prof. Maria-Luise Rohleder,M,wagenknechtbernd-dieter@yahoo.de,Vechta,60402608,72.98
175,2021-03-02,Wilma Biggen-Hofmann,M,kjunitz@lorch.de,Mettmann,93114349,17.17
176,2021-07-26,Arnim Säuberlich,M,scholtzeberhardt@fiebig.de,Saulgau,02699745,65.37
177,2021-02-23,Wieslaw Drubin-Dowerg,F,steysusanne@kobelt.de,Groß-Gerau,79489638,12.15
178,2021-02-24,Dr. Siegrun Anders B.Eng.,F,kay-uwe60@yahoo.de,Miesbach,20601386,57.17
179,2021-05-22,Branka Bloch,F,walter56@yahoo.de,Altentreptow,19977324,63.22
180,2021-04-27,Sieghard Scholz,M,heinowagner@gmail.com,Osterode am Harz,68451820,25.63
181,2021-01-20,Canan Gröttner-Bonbach,F,bmaelzer@mies.de,Hammelburg,50349722,4.46
182,2021-01-19,Dr. Juergen Matthäi MBA.,M,larissa43@striebitz.org,Sangerhausen,43845132,3.6
183,2021-04-11,Prof. Winfried Reuter,M,rouven17@yahoo.de,Hohenstein-Ernstthal,35296676,57.5
184,2021-05-27,Heribert Köhler-Kitzmann,F,wolfgang87@yahoo.de,Miesbach,97095682,62.49
185,2021-01-27,Hans Josef Dowerg,F,ihoffmann@googlemail.com,Eichstätt,87266771,49.94
186,2021-02-28,Lara Huhn,F,ewagnatz@gotthard.com,Tirschenreuth,22526946,22.81
187,2021-03-20,Dr. Catharina Renner,F,cosimobiggen@loeffler.de,Hofgeismar,59915430,49.32
188,2021-08-05,Adelheid Tschentscher,M,klaus-juergensuessebier@klemt.de,Wetzlar,98864324,28.88
189,2021-01-06,Bernfried Stahr MBA.,M,richard63@plath.com,Bayreuth,25322958,32.66
190,2021-01-15,Klothilde Holsten,F,canders@wende.com,Merseburg,64548906,65.18
191,2021-05-29,Fadime Stiebitz,F,elfibeyer@mitschke.com,Schwerin,40118642,32.61
192,2021-04-27,Ing. Angela Weimer MBA.,M,ruppersbergerelise@googlemail.com,Sternberg,54825161,70.59
193,2021-04-01,José Neureuther,F,ljubicakohl@schwital.org,Heinsberg,61273047,71.57
194,2021-04-16,Prof. Wolf Thies,M,frank-michael97@groettner.de,Einbeck,60035691,91.38
195,2021-03-16,Sofia Putz MBA.,F,gregor99@paffrath.com,Calau,00823517,96.72
196,2021-02-27,Hans-Rainer Bohnbach,F,oconradi@hotmail.de,Miesbach,58308646,28.59
197,2021-01-08,Alessandro Eberth,F,seifertedelbert@loeffler.org,Querfurt,28349099,91.26
198,2021-07-24,Eckehard Ruppersberger,F,karl-hans20@gmx.de,Ludwigsburg,94908305,17.57
199,2021-06-27,Prof. Veronica Schinke,M,sergejkruschwitz@web.de,Mellrichstadt,13042592,55.38
200,2021-03-19,Jasmin Freudenberger,F,ritterjanus@web.de,Bremervörde,11181316,46.53
201,2021-02-07,Herr Friedhold Heser B.Sc.,F,wmies@gmx.de,Nabburg,18263800,29.93
202,2021-03-12,Curt Metz-Anders,F,nkaester@hoefig.com,Görlitz,81519422,15.13
203,2021-05-04,Tadeusz Jessel,F,jens-peterstaude@adolph.de,Mühldorf am Inn,97557326,86.4
204,2021-03-15,Franz-Josef Drub,F,oschenk@aol.de,Vechta,92250963,57.56
205,2021-05-15,Helmtrud Häring,M,bolanderhanns@raedel.de,Badalzungen,97074137,38.69
206,2021-04-06,Frau Luka Gertz,M,oskar94@vollbrecht.com,Brilon,04381402,81.94
207,2021-05-03,Jennifer Eberth-Reichmann,M,drubjohannes@heuser.com,Döbeln,75131098,12.65
208,2021-07-20,Frau Claire Christoph B.Eng.,M,franz-josefhein@yahoo.de,Wismar,20376444,73.2
209,2021-07-28,Ercan Christoph,M,darko17@hoefig.de,Sankt Goar,65884607,65.21
210,2021-07-16,Ing. Maritta Finke MBA.,M,natascha67@loechel.de,Großenhain,86780919,83.13
211,2021-05-30,Ing. Richard Aumann MBA.,F,loechelmargaretha@kusch.org,Schrobenhausen,95058290,91.82
212,2021-03-13,Orhan Striebitz B.A.,F,ischacht@gmail.com,Eggenfelden,06692353,23.66
213,2021-01-14,Christin Franke-Girschner,F,wera33@hettner.net,Nauen,14778872,44.9
214,2021-05-21,Guenther Geißler,F,zbigniewlinke@web.de,Leipziger Land,47607385,96.75
215,2021-01-08,Hanny Junck,F,saeuberlichkornelius@web.de,Schongau,31653640,84.15
216,2021-04-08,Hans-Bernd Reuter-Stiebitz,F,oliverbohnbach@rohleder.com,Karlsruhe,80809975,77.41
217,2021-03-05,Frau Nelly Keudel,F,hansjoachimruppert@loeffler.de,Böblingen,76688997,43.89
218,2021-05-03,Frau Susi Schuchhardt,F,meinolf86@yahoo.de,Haldensleben,67535118,25.27
219,2021-07-28,Dr. Isabel Adolph,F,valeskagumprich@eberhardt.de,Helmstedt,42819226,89.95
220,2021-07-07,Moritz Metz,F,monica96@rust.com,Neuruppin,28641575,75.83
221,2021-02-28,Adolf Geisler,M,zobelannelise@grein.com,Calau,33799889,92.59
222,2021-07-14,Ing. Luise Mohaupt MBA.,M,pfreudenberger@fliegner.com,Bayreuth,78076907,74.57
223,2021-08-01,Ralf-Peter Dörschner-Hermann,F,efliegner@gmx.de,Querfurt,42134725,59.84
224,2021-01-28,Milena Ruppert,M,heinz-ottokobelt@gute.com,Viechtach,01263244,43.41
225,2021-07-16,Univ.Prof. Traude Gnatz,F,wetzold@web.de,Bruchsal,16269644,64.6
226,2021-01-16,Frau Hannchen Döring B.A.,F,msoelzer@hotmail.de,Ingolstadt,56451436,50.77
227,2021-04-23,Horst-Peter Kaul,F,arnewarmer@yahoo.de,Bernburg,13299781,73.63
228,2021-02-08,Roman Briemer,F,fwilmsen@aol.de,Aachen,72045251,72.83
229,2021-03-06,Dr. Hannes Hörle B.A.,F,zpechel@googlemail.com,Reutlingen,47254510,94.79
230,2021-02-07,Klemens Weinhage-Röhrdanz,F,knud09@googlemail.com,Rathenow,90701085,10.12
231,2021-04-14,Käthi Matthäi MBA.,F,aennelangern@schomber.de,Stade,40196824,88.65
232,2021-03-13,Yusuf Christoph,F,kwinkler@web.de,Regen,35922551,66.99
233,2021-02-02,Elfi Döring,F,dehmeljosephine@soeding.de,Altötting,59644750,74.98
234,2021-02-26,Marina Dörschner,M,ayten86@hotmail.de,Miesbach,01257281,7.5
235,2021-05-27,Katharina Bolander-Mohaupt,M,lukas79@hotmail.de,Staffelstein,62081443,62.43
236,2021-04-06,Mirja Biggen MBA.,M,loewerpatricia@becker.de,Eckernförde,86015738,23.8
237,2021-01-13,Klaus-Jürgen Seip,F,steyfriedhold@rosemann.de,Reutlingen,97031635,70.33
238,2021-06-29,Gerlind Schenk,F,sabriadler@hertrampf.de,Neuss,50632053,73.49
239,2021-02-08,Stjepan Bloch,M,ruppertkreszentia@web.de,Havelberg,32426748,21.43
240,2021-07-12,Ekkehart Kühnert B.Eng.,F,eroskoth@hotmail.de,Schleiz,70101607,45.48
241,2021-03-30,Anja Ullrich,M,ascheuermann@wirth.com,Fürstenfeldbruck,22846655,41.9
242,2021-04-07,Univ.Prof. Augustin Binner B.Eng.,M,sieringeggert@yahoo.de,Güstrow,60753359,55.11
243,2021-05-28,Meral Heinrich-Weinhold,M,anatoli97@baerer.de,Beeskow,69428487,15.34
244,2021-04-10,Klemens Bloch,M,ejaehn@gmail.com,Altötting,77059789,45.87
245,2021-01-22,Gesine Süßebier-Bohnbach,M,kaethihellwig@yahoo.de,Nauen,12317370,90.7
246,2021-03-13,Marie Bolzmann,F,bachmannaziz@yahoo.de,Rudolstadt,03893432,34.13
247,2021-03-28,Ing. Hans Metz,F,constanzebirnbaum@gmx.de,Jessen,65051436,66.41
248,2021-01-18,Franz-Josef Barth,M,antje28@web.de,Bernburg,45650840,42.73
249,2021-02-15,Franz Josef Heintze-Ullrich,M,bekir28@wagner.net,Waldmünchen,78876613,85.91
250,2021-07-05,Antje Dobes,M,paulflantz@hartung.de,Suhl,49578423,78.9
251,2021-02-22,Malte Wernecke,F,leonjacob@gmx.de,Oschatz,00915045,37.33
252,2021-06-03,Dursun Seifert,F,raedelhermine@kramer.org,Bautzen,97617839,50.6
253,2021-08-09,Raimund Müller,M,cilli55@web.de,Plauen,82795016,44.46
254,2021-08-07,Korbinian Gutknecht,M,edda14@kohl.de,Gifhorn,98233847,36.82
255,2021-07-15,Geza Scholz,M,albersjoerg@web.de,Lörrach,27129715,9.9
256,2021-04-30,Amir Killer,M,henckrotraut@kuehnert.com,Roth,88078496,91.2
257,2021-04-24,Dimitrios Stey,F,gieselaharloff@aol.de,Lörrach,82760908,45.91
258,2021-04-23,George Oderwald B.Sc.,F,lore82@heinz.de,Kelheim,83856181,5.41
259,2021-06-10,Diethard Köster,M,ukranz@aol.de,Beeskow,25089066,43.67
260,2021-06-26,Hans-Hinrich Wieloch,F,andypatberg@zirme.com,Nördlingen,68121655,27.52
261,2021-03-06,Heinz-Peter Anders,F,ibohlander@pruschke.de,Rostock,40530383,63.39
262,2021-03-23,Aloisia Zahn,F,satzler@meyer.net,Sulzbach-Rosenberg,17047494,92.64
263,2021-07-05,Hiltrud Roht,F,ladeckfrank-peter@gmail.com,Brandenburg,93757980,1.22
264,2021-05-20,Matteo Trubin-Löwer,F,carstenalexandra@van.de,Hechingen,17914451,87.26
265,2021-05-03,Anna Klotz-Ziegert,M,imosemann@gmail.com,Delitzsch,76446658,11.72
266,2021-01-10,Bernhard Stiebitz,M,nrohleder@yahoo.de,Havelberg,38835698,48.2
267,2021-06-27,Dipl.-Ing. Wally Drewes,F,reimer91@hotmail.de,München,36581337,9.38
268,2021-07-13,Henryk Caspar,F,girschnerfrank-peter@gmx.de,Hechingen,94182699,99.61
269,2021-05-14,Nikolas Jäkel B.Sc.,F,bertramschaefer@aol.de,Neustadt am Rübenberge,53641861,32.81
270,2021-05-22,Frau Margarete Schuchhardt B.Sc.,M,crohleder@gmx.de,Rochlitz,53416391,93.52
271,2021-06-28,Folkert Kohl,F,dkrause@gmail.com,Jessen,84826039,28.91
